1.0	certain kingdom	be in	certain land
1.0	Prince Ivan	succeed to	throne
1.0	king	grow	old
1.0	neighbor king	gather together troops	learn
1.0	neighbor king	gather together	innumerable troops
1.0	neighbor king	gather together	troops
1.0	king	wage war against	he
1.0	king	gather	innumerable troops
1.0	neighbor king	gather	innumerable troops
1.0	king	wage	war
1.0	king	gather together	innumerable troops
1.0	neighbor king	gather troops	learn
1.0	neighbor king	gather	troops
1.0	king	gather troops	learn
1.0	king	gather together	troops
1.0	neighbor king	wage	war
1.0	king	gather together troops	learn
1.0	neighbor king	wage war against	he
1.0	king	gather	troops
1.0	he	ask	they
1.0	he	come to	he sister
1.0	king	be wage	war
1.0	king	be wage war against	I
1.0	moment	without	respite
1.0	you	be	afraid
0.010717726303177022	you	be afraid	have see
1.0	you	see	anything
1.0	Prince Ivan straightway	take	steel sword
1.0	Prince Ivan straightway	saddle	he good steed
1.0	Prince Ivan straightway	pray to	God
1.0	Prince Ivan straightway	take	spear
1.0	Prince Ivan straightway	take	silken ride crop
1.0	Prince Ivan straightway	take	long spear
1.0	Prince Ivan straightway	take	ride crop
1.0	Prince Ivan straightway	saddle	he steed
1.0	Prince Ivan straightway	don	he armor
1.0	he	sleep	awaken
1.0	he	sleep for	three day
1.0	he	lay down	sleep
1.0	he	return to	he capital
1.0	he	slew	enemy troops
1.0	other king	gather	even more troops than before
1.0	king	again approach	very wall of he town
1.0	other king	approach	very wall
1.0	other king	again approach	very wall
1.0	other king	approach	very wall of he town
0.8180686684884833	other king	more troops than	before
0.8180686684884833	king	even more troops than	before
1.0	king	again approach	wall
1.0	king	approach	very wall
1.0	king	gather	more troops than before
1.0	king	gather	troops than before
0.8180686684884833	king	troops than	before
1.0	other king	gather	more troops than before
1.0	king	approach	wall of he town
1.0	king	again approach	wall of he town
1.0	king	again approach	very wall
1.0	king	gather	even more troops than before
1.0	other king	again approach	wall of he town
1.0	other king	gather	troops than before
1.0	other king	approach	wall of he town
1.0	other king	approach	wall
1.0	other king	again approach	wall
1.0	king	approach	wall
0.8180686684884833	other king	troops than	before
0.8180686684884833	other king	even more troops than	before
1.0	other king	again approach	very wall of he town
1.0	king	approach	very wall of he town
0.8180686684884833	king	more troops than	before
1.0	prince	be	grieve
1.0	prince	go to	he sister
1.0	you	sleep at_time	three day
1.0	you	sleep	awaken
1.0	moment	without	respite
1.0	Byely Polyanin	war	golden-legged
1.0	silken ride crop	be in	other
1.0	Prince Ivan	take	spear
1.0	Prince Ivan	take spear in	one hand
1.0	Prince Ivan	gird on	he steel sword
1.0	Prince Ivan	saddle	mighty steed
1.0	Prince Ivan	run to	white stone stable
1.0	Prince Ivan	don	he armor
1.0	Prince Ivan	run to	stone stable
1.0	Prince Ivan	run to	stone
1.0	Prince Ivan	pray to	God
1.0	Prince Ivan	saddle	steed
1.0	Prince Ivan	take	long spear
1.0	Prince Ivan	run to	white stone
1.0	he	return	home
1.0	he	defeat	great host of troops
1.0	he	sleep	awaken
1.0	he	defeat	great host
1.0	he	defeat	host
1.0	he	lay down	sleep
1.0	he	defeat	host of troops
1.0	he	sleep	awaken for six day
0.41279263864061316	he	host of	troops
0.41279263864061316	he	great host of	troops
1.0	other king	gather	army
1.0	other king	gather together	even greater army
1.0	other king	gather together	army than before
1.0	other king	surround	entire town
1.0	other king	again surround	entire town
1.0	king	surround	entire town
1.0	other king	gather	even greater army
1.0	other king	surround	town
1.0	king	again surround	entire town
1.0	king	gather together	even greater army
0.871754754437723	king	even greater army than	before
1.0	other king	gather together	even greater army than before
1.0	king	gather	even greater army than before
1.0	other king	gather together	greater army than before
1.0	king	gather	army
1.0	king	gather together	army than before
1.0	king	gather together	greater army
0.871754754437723	other king	army than	before
1.0	king	again surround	town
1.0	king	gather	even greater army
1.0	king	gather together	army
0.871754754437723	other king	even greater army than	before
1.0	other king	gather	army than before
0.871754754437723	other king	greater army than	before
1.0	other king	gather	greater army
1.0	other king	gather	greater army than before
1.0	other king	gather together	greater army
1.0	king	gather together	greater army than before
1.0	other king	gather together	army
1.0	king	surround	town
1.0	other king	again surround	town
1.0	king	gather	greater army than before
0.871754754437723	king	greater army than	before
0.871754754437723	king	army than	before
1.0	king	gather	army than before
1.0	king	gather together	even greater army than before
1.0	king	gather	greater army
1.0	other king	gather	even greater army than before
1.0	Prince Ivan	go to	he sister
1.0	I	have destroy	two army
1.0	you	sleep	awaken
1.0	you	sleep for	six day
1.0	moment	without	respite
1.0	silken ride crop	be in	other
1.0	he	take	long spear
1.0	he	saddle	he steed
1.0	he	take	spear
1.0	he	saddle	he good steed
1.0	he	pray to	God
1.0	he	take spear in	one hand
1.0	he	gird on	he steel sword
1.0	he	don	he armor
1.0	bright falcon	swoop down on	flock
1.0	falcon	swoop down on	flock of goose
1.0	falcon	swoop down on	flock
1.0	bright falcon	swoop down on	flock of goose
1.0	he	defeat	great host of troops
1.0	he	return	home
1.0	he	sleep for	ten day
1.0	he	sleep	awaken
1.0	he	defeat	great host
1.0	he	defeat	host
1.0	he	lay down	sleep
1.0	he	defeat	host of troops
0.41279263864061316	he	host of	troops
0.41279263864061316	he	great host of	troops
1.0	I	charge	you
1.0	I	have decide	go to land
1.0	I	have decide	go
1.0	I	go to	foreign land
1.0	I	go to	land
1.0	I	have decide	go to foreign land
1.0	he	set out on	he way
1.0	he	take	leave
1.0	he	take	leave of he sister
1.0	he	mount	he horse
1.0	he	enter forest after	time
1.0	he	enter forest after	long time
1.0	he	enter	forest
1.0	he	enter	dark forest
1.0	Prince Ivan	see	he
1.0	God	be take	you
1.0	Whither	be take	you
1.0	I	ask	they
1.0	I	shall assemble	my faithful servant
1.0	man	go out on	porch
1.0	bird	suddenly begin	fly toward he from side
1.0	man	blow on	silver trumpet
1.0	bird	begin	fly from side
1.0	old man	blow on	silver trumpet
1.0	bird	fly from	side
1.0	bird	begin	fly toward he from side
1.0	bird	suddenly begin	fly from side
1.0	old man	go out on	porch
1.0	host	cover	sky
1.0	host	cover sky like	black cloud
1.0	host	cover sky like	cloud
1.0	numberless host	cover sky like	black cloud
1.0	host	cover	whole sky
1.0	numberless host	cover	sky
1.0	numberless host	cover	whole sky
1.0	numberless host	cover sky like	cloud
1.0	my	servant	bird of passage
1.0	man	whistle with	mighty whistle
0.6472920284352414	you	have ever hear	anything
0.6472920284352414	you	have hear	anything about Byely Polyanin
1.0	old man	whistle with	whistle
0.5959499100901307	you	anything about	Byely Polyanin
1.0	man	cry in	voice
1.0	man	whistle with	whistle
1.0	old man	cry in	loud voice
1.0	man	cry in	loud voice
1.0	old man	cry in	voice
0.6472920284352414	you	have ever hear	anything about Byely Polyanin
0.6472920284352414	you	have hear	anything
1.0	my faithful servant	bird of	passage
1.0	old man	whistle with	mighty whistle
1.0	we	hear with	we ear
1.0	we	hear of	he
1.0	ball roll	direct	you horse
1.0	it	roll before	you
1.0	Prince Ivan	mount	he good steed
1.0	Prince Ivan	ride after	it
1.0	Prince Ivan	roll	he ball
1.0	forest	grow	darker
1.0	Prince Ivan	mount	he steed
0.4820437207276388	man	hoary with	age
1.0	prince	enter	it
0.4820437207276388	old man	hoary with	age
1.0	I	ask	they
1.0	I	shall assemble	my faithful servant
1.0	man	blow on	silver trumpet
1.0	man	suddenly kind of	beast gather around he
1.0	old man	blow on	silver trumpet
1.0	man	kind of	beast gather around he
1.0	old man	suddenly kind of	beast gather around he
1.0	old man	kind of	beast gather around he
1.0	he	cry to	they
1.0	my	servant	roving beast
1.0	he	whistle with	whistle
1.0	he	cry in	loud voice
1.0	he	cry in	voice
1.0	he	whistle with	mighty whistle
1.0	we	hear with	we ear
1.0	we	hear about	he
1.0	beast	take count among	themselves
1.0	beast	take	count
1.0	they	bring	she
1.0	they	soon bring	she
1.0	I	know	he
1.0	I	be with	always he
1.0	I	be with	he
1.0	I	feed on	they carrion
1.0	he	defeat	army
1.0	he	lay down	sleep for twelve day
1.0	he	lay down	sleep
1.0	he	sleep for	twelve day
